id,date,surface_time,dive_time,haul_time,n_dives,av_depth,max_depth,sd_depth,av_duration,sd_duration,max_duration
hp6-747-19,2019-06-17T06:00:00Z,24.5,75.5,0,77,52,170,NA,208,60,356
hp6-747-19,2019-06-17T12:00:00Z,27.6,72.4,0,77,60,190,NA,208,60,420
hp6-747-19,2019-06-18T18:00:00Z,23.7,76.3,0,62,84,275,NA,260,60,484
hp6-747-19,2019-06-19T00:00:00Z,33.9,66.1,0,65,48,105,NA,224,60,404
hp6-747-19,2019-06-24T06:00:00Z,30,70,0,69,54,160,NA,224,0,356
hp6-747-19,2019-06-24T12:00:00Z,17.4,82.6,0,81,84,195,NA,216,0,356
hp6-747-19,2019-06-25T06:00:00Z,22.9,77.1,0,121,30,145,NA,136,60,260
hp6-747-19,2019-06-25T12:00:00Z,61.5,38.5,0,46,48,125,NA,184,60,324
hp6-747-19,2019-06-26T06:00:00Z,22.1,77.9,0,93,40,125,NA,176,0,292
hp6-747-19,2019-06-26T12:00:00Z,39.4,60.6,0,77,40,94,NA,168,0,276
hp6-747-19,2019-06-28T18:00:00Z,19.7,80.3,0,73,58,125,NA,240,60,356
hp6-747-19,2019-06-29T00:00:00Z,85.9,14.1,0,38,18,74,NA,80,60,356
hp6-747-19,2019-06-29T06:00:00Z,26,74,0,125,20,82,NA,128,60,276
hp6-747-19,2019-06-29T12:00:00Z,16.6,83.4,0,77,52,130,NA,224,0,308
hp6-747-19,2019-06-30T18:00:00Z,26,74,0,117,24,94,NA,136,0,260
hp6-747-19,2019-07-01T00:00:00Z,53.6,46.4,0,101,18,74,NA,96,60,356
hp6-747-19,2019-07-01T06:00:00Z,18.9,81.1,0,113,28,170,NA,152,60,340
hp6-747-19,2019-07-01T12:00:00Z,20.5,79.5,0,85,34,120,NA,200,60,308
hp6-747-19,2019-07-01T18:00:00Z,18.9,81.1,0,101,28,98,NA,168,0,276
hp6-747-19,2019-07-02T00:00:00Z,37.1,62.9,0,77,28,120,NA,168,60,452
hp6-747-19,2019-07-03T18:00:00Z,26.8,73.2,0,113,24,80,NA,136,0,324
hp6-747-19,2019-07-04T00:00:00Z,70.1,29.9,0,93,16,84,NA,64,60,372
hp6-747-19,2019-07-04T06:00:00Z,25.2,74.8,0,109,28,125,NA,144,60,292
hp6-747-19,2019-07-04T12:00:00Z,16.6,83.4,0,73,68,265,NA,240,0,468
hp6-747-19,2019-07-04T18:00:00Z,19.7,80.3,0,105,38,115,NA,160,60,324
hp6-747-19,2019-07-05T00:00:00Z,40.2,59.8,0,137,20,105,NA,88,60,340
hp6-747-19,2019-07-05T18:00:00Z,38.6,61.4,0,109,26,125,NA,120,60,276
hp6-747-19,2019-07-06T00:00:00Z,38.6,61.4,0,73,64,295,NA,176,120,468
hp6-747-19,2019-07-07T18:00:00Z,26,74,0,73,82,135,NA,216,60,356
hp6-747-19,2019-07-08T00:00:00Z,37.8,62.2,0,93,46,98,NA,144,0,276
hp6-747-19,2019-07-23T06:00:00Z,15.8,84.2,0,73,64,190,NA,240,60,356
hp6-747-19,2019-07-23T12:00:00Z,14.2,85.8,0,73,90,200,NA,260,60,844
hp6-747-19,2019-07-25T18:00:00Z,22.9,77.1,0,81,66,145,NA,208,60,356
hp6-747-19,2019-07-26T00:00:00Z,51.2,48.8,0,89,20,96,NA,112,60,420
hp6-747-19,2019-07-27T06:00:00Z,17.4,82.6,0,85,76,180,NA,208,60,844
hp6-747-19,2019-07-27T12:00:00Z,18.2,81.8,0,89,60,180,NA,192,0,372
hp6-747-19,2019-07-30T06:00:00Z,15,85,0,65,105,200,NA,276,60,516
hp6-747-19,2019-07-30T12:00:00Z,15,85,0,69,84,195,NA,260,60,388
hp6-747-19,2019-08-02T18:00:00Z,15,85,0,73,62,115,NA,248,60,388
hp6-747-19,2019-08-03T00:00:00Z,40.2,59.8,0,89,32,245,NA,144,60,676
hp6-747-19,2019-08-16T18:00:00Z,14.2,85.8,0,69,110,235,NA,260,60,484
hp6-747-19,2019-08-17T00:00:00Z,18.2,81.8,0,85,74,140,NA,208,0,308
hp6-747-19,2019-08-19T18:00:00Z,13.4,86.6,0,56,155,210,NA,340,60,580
hp6-747-19,2019-08-20T00:00:00Z,18.2,81.8,0,81,66,200,NA,216,0,388
hp6-747-19,2019-08-20T06:00:00Z,14.2,85.8,0,73,94,230,NA,248,60,612
hp6-747-19,2019-08-20T12:00:00Z,12.6,87.4,0,77,60,255,NA,248,120,844
hp6-747-19,2019-08-20T18:00:00Z,15.8,84.2,0,69,100,265,NA,260,60,548
hp6-747-19,2019-08-21T00:00:00Z,37.1,62.9,0,141,32,205,NA,96,60,404
hp6-747-19,2019-09-03T06:00:00Z,30.8,69.2,0,89,62,160,NA,160,0,324
hp6-747-19,2019-09-03T12:00:00Z,32.3,67.7,0,54,88,225,NA,276,60,436
hp6-747-19,2019-09-04T06:00:00Z,21.3,78.7,0,93,46,145,NA,184,0,324
hp6-747-19,2019-09-04T12:00:00Z,21.3,78.7,0,81,72,235,NA,208,60,580
hp6-747-19,2019-09-05T18:00:00Z,13.4,86.6,0,65,76,190,NA,276,60,420
hp6-747-19,2019-09-06T00:00:00Z,13.4,86.6,0,65,64,205,NA,276,60,484
hp6-747-19,2019-09-08T18:00:00Z,22.9,77.1,0,117,32,115,NA,144,0,324
hp6-747-19,2019-09-09T00:00:00Z,17.4,82.6,0,85,42,105,NA,208,60,420
hp6-747-19,2019-09-16T06:00:00Z,18.9,81.1,0,65,90,170,NA,260,60,388
hp6-747-19,2019-09-16T12:00:00Z,15.8,84.2,0,58,110,220,NA,308,60,420
hp6-747-19,2019-09-23T18:00:00Z,11.9,88.1,0,48,62,160,NA,388,60,548
hp6-747-19,2019-09-24T00:00:00Z,11.9,88.1,0,50,58,120,NA,372,60,516
hp6-747-19,2019-09-26T06:00:00Z,15,85,0,60,76,285,NA,292,120,564
hp6-747-19,2019-09-26T12:00:00Z,17.4,82.6,0,65,88,220,NA,276,60,500
hp6-747-19,2019-09-26T18:00:00Z,49.7,50.3,0,52,54,245,NA,216,120,548
hp6-747-19,2019-09-27T00:00:00Z,56,44,0,26,96,290,NA,356,120,532
hp6-747-19,2019-09-27T06:00:00Z,15.8,84.2,0,65,86,280,NA,260,0,500
hp6-747-19,2019-09-27T12:00:00Z,13.4,86.6,0,54,125,280,NA,340,120,940
hp6-747-19,2019-09-29T18:00:00Z,32.3,67.7,0,69,46,160,NA,208,60,372
hp6-747-19,2019-09-30T00:00:00Z,92.2,7.8,0,56,14,36,NA,24,0,104
hp6-747-19,2019-10-02T06:00:00Z,14.2,85.8,0,52,150,350,NA,356,120,644
hp6-747-19,2019-10-02T12:00:00Z,13.4,86.6,0,50,165,380,NA,356,60,596
hp6-747-19,2019-10-03T18:00:00Z,13.4,86.6,0,65,64,170,NA,276,60,452
hp6-747-19,2019-10-04T00:00:00Z,33.9,66.1,0,54,48,120,NA,248,60,580
hp6-747-19,2019-10-04T06:00:00Z,18.2,81.8,0,62,74,200,NA,276,60,516
hp6-747-19,2019-10-04T12:00:00Z,16.6,83.4,0,60,110,290,NA,292,60,628
hp6-747-19,2019-10-04T18:00:00Z,17.4,82.6,0,69,62,190,NA,248,60,452
hp6-747-19,2019-10-05T00:00:00Z,23.7,76.3,0,60,56,275,NA,260,120,580
hp6-747-19,2019-10-13T18:00:00Z,15.8,84.2,0,65,98,390,NA,276,120,724
hp6-747-19,2019-10-14T00:00:00Z,16.6,83.4,0,93,66,310,NA,184,60,436
hp6-747-19,2019-10-14T06:00:00Z,13.4,86.6,0,62,135,350,NA,308,60,612
hp6-747-19,2019-10-14T12:00:00Z,13.4,86.6,0,56,130,290,NA,324,60,532
hp6-747-19,2019-10-15T06:00:00Z,15.8,84.2,0,62,100,205,NA,292,120,644
hp6-747-19,2019-10-15T12:00:00Z,11.9,88.1,0,50,190,290,NA,372,60,548
hp6-747-19,2019-10-15T18:00:00Z,36.3,63.7,0,58,58,265,NA,240,60,436
hp6-747-19,2019-10-16T00:00:00Z,19.7,80.3,0,77,44,130,NA,224,120,436
hp6-747-19,2019-10-17T18:00:00Z,13.4,86.6,0,65,48,98,NA,276,60,500
hp6-747-19,2019-10-18T00:00:00Z,14.2,85.8,0,58,48,320,NA,308,60,564
hp6-747-19,2019-10-18T06:00:00Z,13.4,86.6,0,60,82,270,NA,308,60,612
hp6-747-19,2019-10-18T12:00:00Z,11.9,88.1,0,56,135,230,NA,340,60,532
hp6-747-19,2019-10-18T18:00:00Z,12.6,87.4,0,56,80,245,NA,324,120,628
hp6-747-19,2019-10-19T00:00:00Z,12.6,87.4,0,54,76,235,NA,356,60,612
hp6-747-19,2019-10-19T18:00:00Z,24.5,75.5,0,85,44,130,NA,192,120,468
hp6-747-19,2019-10-20T00:00:00Z,48.1,51.9,0,93,30,260,NA,120,120,516
hp6-747-19,2019-10-22T06:00:00Z,11.9,88.1,0,65,115,255,NA,276,60,484
hp6-747-19,2019-10-22T12:00:00Z,18.9,81.1,0,97,72,270,NA,176,60,564
hp6-747-19,2019-10-24T06:00:00Z,11.9,88.1,0,54,160,285,NA,356,60,484
hp6-747-19,2019-10-24T12:00:00Z,11.1,88.9,0,48,230,300,NA,388,60,908
hp6-747-19,2019-10-25T18:00:00Z,13.4,86.6,0,69,80,330,NA,260,60,532
hp6-747-19,2019-10-26T00:00:00Z,10.3,89.7,0,52,82,150,NA,372,0,452
hp6-747-19,2019-10-26T06:00:00Z,12.6,87.4,0,69,82,440,NA,260,60,676
hp6-747-19,2019-10-26T12:00:00Z,16.6,83.4,0,69,110,205,NA,260,60,468
hp6-747-19,2019-10-27T06:00:00Z,11.1,88.9,0,50,150,190,NA,372,60,740
hp6-747-19,2019-10-27T12:00:00Z,12.6,87.4,0,52,185,225,NA,356,0,436
hp6-747-19,2019-10-28T18:00:00Z,67,33,0,48,38,165,NA,152,60,436
hp6-747-19,2019-10-29T00:00:00Z,30.8,69.2,0,50,56,145,NA,292,120,516
hp6-747-19,2019-10-29T18:00:00Z,29.2,70.8,0,60,56,125,NA,248,60,452
hp6-747-19,2019-10-30T00:00:00Z,18.2,81.8,0,65,56,125,NA,276,60,532
hp6-747-19,2019-11-01T18:00:00Z,25.2,74.8,0,89,46,215,NA,184,60,500
hp6-747-19,2019-11-02T00:00:00Z,23.7,76.3,0,69,56,450,NA,240,120,708
hp6-747-19,2019-11-03T06:00:00Z,14.2,85.8,0,44,210,285,NA,420,120,612
hp6-747-19,2019-11-03T12:00:00Z,15,85,0,54,195,290,NA,340,60,484
hp6-747-19,2019-11-12T18:00:00Z,30,70,0,93,70,170,NA,160,60,356
hp6-747-19,2019-11-13T00:00:00Z,15,85,0,62,135,255,NA,292,60,548
hp6-747-19,2019-11-13T06:00:00Z,12.6,87.4,0,46,190,285,NA,404,60,564
hp6-747-19,2019-11-13T12:00:00Z,15.8,84.2,0,52,195,300,NA,340,120,1260
hp6-747-19,2019-11-14T06:00:00Z,11.9,88.1,0,42,170,300,NA,436,60,612
hp6-747-19,2019-11-14T12:00:00Z,14.2,85.8,0,46,255,300,NA,404,0,516
hp6-747-19,2019-11-15T18:00:00Z,11.9,88.1,0,48,88,210,NA,388,0,532
hp6-747-19,2019-11-16T00:00:00Z,11.9,88.1,0,52,78,300,NA,372,60,612
hp6-747-19,2019-11-16T06:00:00Z,11.1,88.9,0,48,125,265,NA,388,60,596
hp6-747-19,2019-11-16T12:00:00Z,11.1,88.9,0,44,210,320,NA,436,0,532
hp6-747-19,2020-01-01T00:00:00Z,13.4,86.6,0,60,54,160,NA,308,60,596
hp6-747-19,2020-01-01T06:00:00Z,10.3,89.7,0,46,94,200,NA,404,60,612
hp6-749-19,2019-03-23T00:00:00Z,27.6,0,72.4,0,0,0,NA,0,0,0
hp6-749-19,2019-03-23T06:00:00Z,26.9,0.7,72.4,10,8,10,NA,16,0,32
hp6-749-19,2019-03-23T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-03-23T18:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-03-24T00:00:00Z,23.7,2.3,74,20,9,12,NA,24,0,64
hp6-749-19,2019-03-24T06:00:00Z,38.6,5.5,55.9,36,10,20,NA,32,0,80
hp6-749-19,2019-03-24T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-03-24T18:00:00Z,11.2,0.7,88.1,14,10,16,NA,16,0,40
hp6-749-19,2019-03-25T00:00:00Z,35.5,11.8,52.7,62,12,24,NA,40,0,120
hp6-749-19,2019-03-25T06:00:00Z,59.9,9.4,30.7,56,12,24,NA,32,0,104
hp6-749-19,2019-03-25T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-03-25T18:00:00Z,22.9,4.7,72.4,20,14,26,NA,48,0,112
hp6-749-19,2019-03-26T00:00:00Z,79.6,20.4,0,101,12,40,NA,40,0,120
hp6-749-19,2019-03-26T06:00:00Z,49.8,18.8,31.4,77,16,48,NA,48,0,136
hp6-749-19,2019-03-26T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-03-26T18:00:00Z,29.3,7.8,62.9,26,22,50,NA,64,0,120
hp6-749-19,2019-03-27T00:00:00Z,93.8,6.2,0,44,10,22,NA,32,0,104
hp6-749-19,2019-03-27T06:00:00Z,56,11,33,52,12,26,NA,40,0,128
hp6-749-19,2019-03-27T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-03-27T18:00:00Z,25.3,13.3,61.4,42,14,26,NA,64,0,112
hp6-749-19,2019-03-28T00:00:00Z,54.4,3.9,41.7,32,12,24,NA,24,0,88
hp6-749-19,2019-03-28T06:00:00Z,41.8,16.5,41.7,58,18,42,NA,56,0,120
hp6-749-19,2019-03-28T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-03-28T18:00:00Z,33.2,0.7,66.1,18,8,12,NA,16,0,32
hp6-749-19,2019-03-29T00:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-03-29T06:00:00Z,67.8,20.4,11.8,113,12,34,NA,32,0,136
hp6-749-19,2019-03-29T12:00:00Z,0,0,100,0,22,22,NA,96,0,96
hp6-749-19,2019-03-29T18:00:00Z,49.7,13.3,37,77,14,54,NA,32,0,112
hp6-749-19,2019-03-30T00:00:00Z,83.5,0,16.5,4,9,12,NA,24,0,40
hp6-749-19,2019-03-30T06:00:00Z,41,16.5,42.5,81,14,44,NA,40,0,136
hp6-749-19,2019-03-30T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-03-30T18:00:00Z,21.3,11,67.7,36,20,52,NA,64,0,152
hp6-749-19,2019-03-31T00:00:00Z,64.6,11.8,23.6,73,12,44,NA,32,0,120
hp6-749-19,2019-03-31T06:00:00Z,57.5,42.5,0,133,26,68,NA,64,0,176
hp6-749-19,2019-03-31T12:00:00Z,26.1,21.2,52.7,54,34,68,NA,88,0,160
hp6-749-19,2019-03-31T18:00:00Z,15.8,11,73.2,38,18,52,NA,64,0,152
hp6-749-19,2019-04-01T00:00:00Z,66.2,33.8,0,129,14,44,NA,56,0,120
hp6-749-19,2019-04-01T06:00:00Z,46.5,53.5,0,101,38,66,NA,112,0,192
hp6-749-19,2019-04-01T12:00:00Z,33.2,31.4,35.4,65,34,70,NA,96,0,184
hp6-749-19,2019-04-01T18:00:00Z,48.9,51.1,0,117,30,76,NA,96,0,216
hp6-749-19,2019-04-02T00:00:00Z,52.9,14.9,32.2,48,18,56,NA,64,0,144
hp6-749-19,2019-04-02T06:00:00Z,1.6,0,98.4,0,8,8,NA,24,0,24
hp6-749-19,2019-04-02T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-04-02T18:00:00Z,14.2,5.5,80.3,26,14,38,NA,48,0,88
hp6-749-19,2019-04-03T00:00:00Z,63.8,36.2,0,117,20,46,NA,64,0,152
hp6-749-19,2019-04-03T06:00:00Z,48.1,51.9,0,113,34,64,NA,96,0,160
hp6-749-19,2019-04-03T12:00:00Z,19,29.9,51.1,62,42,68,NA,104,0,184
hp6-749-19,2019-04-03T18:00:00Z,30.8,28.3,40.9,69,34,70,NA,88,0,184
hp6-749-19,2019-04-04T00:00:00Z,81.2,18.8,0,62,16,56,NA,64,0,120
hp6-749-19,2019-04-04T06:00:00Z,68.6,31.4,0,109,22,66,NA,56,0,136
hp6-749-19,2019-04-04T12:00:00Z,43.4,56.6,0,125,40,100,NA,96,0,168
hp6-749-19,2019-04-04T18:00:00Z,5.7,6.2,88.1,24,18,34,NA,56,0,120
hp6-749-19,2019-04-05T00:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-04-05T06:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-04-05T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-04-06T06:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-749-19,2019-04-06T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
